Dock_Index,Substrate_Index
0,0
1,1
2,2
3,4
4,5
5,7
6,8
7,9
8,10
10,12
11,13
12,14
13,15
14,17
16,19
17,20
18,21
19,22
20,23
21,24
22,25
23,26
25,28
35,39
36,40
42,46
43,47
44,48
45,49
46,50
47,51
48,52
49,53
50,54
51,55
52,56
53,50
55,15
56,58
57,1
58,59
59,60
60,60
61,61
79,75
80,12
81,75
82,76
83,77
84,78
85,60
86,79
87,25
88,80
89,12
90,81
91,48
92,82
93,83
94,24
95,84
97,24
98,86
99,23
107,93
108,94
109,39
110,12
115,24
116,98
117,25
118,99
121,102
122,103
123,104
124,105
125,106
126,107
127,108
128,109
132,113
133,115
134,117
136,119
137,120
141,124
150,133
151,134
152,135
153,136
154,138
155,139
158,142
159,143
160,99
161,145
162,146
169,75
170,0
171,1
172,46
173,152
177,153
183,157
184,158
185,159
186,160
187,161
188,162
195,169
196,170
198,172
201,175
202,176
203,151
204,125
206,178
207,179
208,180
213,185
214,186
215,187
216,25
218,98
221,191
222,192
226,160
227,193
228,24
240,205
241,206
244,209
247,5
250,214
251,215
253,217
254,218
255,219
256,220
260,120
261,225
262,226
263,227
271,124
272,177
273,233
274,234
275,136
276,235
277,236
283,241
284,242
290,246
291,247
292,248
296,60
305,60
307,259
324,273
325,60
326,274
327,275
328,276
333,17
341,287
355,301
356,302
357,303
358,304
359,305
360,306
361,307
362,308
363,309
367,313
368,314
382,259
384,326
385,327
386,328
387,329
390,331
392,125
393,332
394,333
395,134
396,134
397,329
398,334
399,335
400,336
401,337
402,338
403,339
404,340
405,341
406,342
407,343
408,344
409,345
410,346
411,347
414,350
415,351
416,352
417,353
418,354
420,356
421,328
422,357
423,358
424,359
425,360
426,361
427,362
428,363
429,364
430,365
431,366
432,367
433,368
435,370
437,374
438,375
439,376
440,377
441,327
442,380
446,381
451,386
457,390
458,391
460,392
461,326
462,24
463,393
464,394
465,395
466,75
467,259
468,396
469,24
470,153
471,327
489,120
490,80
491,24
492,259
494,412
495,413
496,414
497,415
498,416
499,417
500,418
502,421
505,425
507,426
508,427
509,428
510,430
512,432
513,433
514,434
515,435
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,2
1048,2
1049,2
1050,2
1051,2
1052,2
1053,2
1054,2
1055,2
1056,2
1057,2
1058,4
1059,4
1060,4
1061,4
1062,4
1063,4
1064,4
1065,4
1066,4
1067,5
1068,5
1069,5
1070,5
1071,5
1072,5
1073,5
1074,5
1075,5
1076,5
1077,5
1078,5
1079,5
1080,5
1081,5
1082,5
1083,5
1084,5
1085,5
1086,7
1087,7
1088,7
1089,7
1090,7
1091,7
1092,7
1093,7
1094,7
1095,8
1096,8
1097,8
1098,8
1099,8
1100,8
1101,8
1102,8
1103,8
1104,8
1105,9
1106,9
1107,9
1108,9
1109,9
1110,9
1111,9
1112,9
1113,9
1114,10
1115,10
1116,10
1117,10
1118,10
1119,10
1120,10
1121,10
1122,10
1123,10
1133,12
1134,12
1135,12
1136,12
1137,12
1138,12
1139,12
1140,12
1141,12
1142,12
1143,12
1144,12
1145,12
1146,12
1147,12
1148,12
1149,12
1150,12
1151,12
1152,12
1153,12
1154,12
1155,12
1156,12
1157,12
1158,12
1159,12
1160,12
1161,12
1162,12
1163,12
1164,12
1165,12
1166,12
1167,12
1168,12
1169,12
1170,13
1171,13
1172,13
1173,13
1174,13
1175,13
1176,13
1177,13
1178,13
1179,13
1180,13
1181,14
1182,14
1183,14
1184,14
1185,14
1186,14
1187,14
1188,14
1189,14
1190,15
1191,15
1192,15
1193,15
1194,15
1195,15
1196,15
1197,15
1198,15
1199,15
1200,15
1201,15
1202,15
1203,15
1204,15
1205,15
1206,15
1207,15
1208,15
1209,17
1210,17
1211,17
1212,17
1213,17
1214,17
1215,17
1216,17
1217,17
1218,17
1219,17
1220,17
1221,17
1222,17
1223,17
1224,17
1225,17
1226,17
1227,17
1228,18
1229,18
1230,18
1232,18
1233,18
1234,18
1236,18
1237,19
1238,19
1239,19
1240,19
1241,19
1242,19
1243,19
1244,19
1245,19
1246,20
1247,20
1248,20
1249,20
1250,20
1251,20
1252,20
1253,20
1254,20
1255,21
1256,21
1257,21
1258,21
1259,21
1260,21
1261,21
1262,21
1263,21
1264,22
1265,22
1266,22
1267,22
1268,22
1269,22
1270,22
1271,22
1272,22
1273,23
1274,23
1275,23
1276,23
1277,23
1278,23
1279,23
1280,23
1281,23
1282,23
1283,23
1284,23
1285,23
1286,23
1287,23
1288,23
1289,23
1290,23
1291,23
1292,24
1293,24
1294,24
1295,24
1296,24
1297,24
1298,24
1299,24
1300,24
1301,24
1302,24
1303,24
1304,24
1305,24
1306,24
1307,24
1308,24
1309,24
1310,24
1311,24
1312,24
1313,24
1314,24
1315,24
1316,24
1317,24
1318,24
1319,24
1320,24
1321,24
1322,24
1323,24
1324,24
1325,24
1326,24
1327,24
1328,24
1329,24
1330,24
1331,24
1332,24
1333,24
1334,24
1335,24
1336,24
1337,24
1338,24
1339,24
1340,24
1341,24
1342,24
1343,24
1344,24
1345,24
1346,24
1347,24
1348,24
1349,24
1350,24
1351,24
1352,24
1353,24
1354,24
1355,24
1356,24
1357,24
1358,24
1359,24
1360,24
1361,24
1362,24
1363,24
1364,24
1365,24
1366,24
1367,25
1368,25
1369,25
1370,25
1371,25
1372,25
1373,25
1374,25
1375,25
1376,25
1377,25
1378,25
1379,25
1380,25
1381,25
1382,25
1383,25
1384,25
1385,25
1386,25
1387,25
1388,25
1389,25
1390,25
1391,25
1392,25
1393,25
1394,25
1395,25
1396,25
1397,25
1398,25
1399,25
1400,25
1401,25
1402,25
1403,25
1404,26
1405,26
1406,26
1407,26
1408,26
1409,26
1410,26
1411,26
1412,26
1413,27
1415,27
1416,27
1418,27
1420,27
1422,28
1423,28
1424,28
1425,28
1426,28
1427,28
1428,28
1429,28
1430,28
1431,39
1432,39
1433,39
1434,39
1435,39
1436,39
1437,39
1438,39
1439,39
1440,39
1441,39
1442,39
1443,39
1444,39
1445,39
1446,39
1447,39
1448,39
1449,39
1450,40
1451,40
1452,40
1453,40
1454,40
1455,40
1456,40
1457,40
1458,40
1459,46
1460,46
1461,46
1462,46
1463,46
1464,46
1465,46
1466,46
1467,46
1468,46
1469,46
1470,46
1471,46
1472,46
1473,46
1474,46
1475,46
1476,46
1477,46
1478,46
1479,47
1480,47
1481,47
1482,47
1483,47
1484,47
1485,47
1486,47
1487,47
1488,47
1489,48
1490,48
1491,48
1492,48
1493,48
1494,48
1495,48
1496,48
1497,48
1498,48
1499,48
1500,48
1501,48
1502,48
1503,48
1504,48
1505,48
1506,48
1507,48
1508,49
1509,49
1510,49
1511,49
1512,49
1513,49
1514,49
1515,49
1516,49
1517,50
1518,50
1519,50
1520,50
1521,50
1522,50
1523,50
1524,50
1525,50
1526,50
1527,50
1528,50
1529,50
1530,50
1531,50
1532,50
1533,50
1534,50
1535,50
1536,50
1537,51
1538,51
1539,51
1540,51
1541,51
1542,51
1543,51
1544,51
1545,51
1546,52
1547,52
1548,52
1549,52
1550,52
1551,52
1552,52
1553,52
1554,52
1555,53
1556,53
1557,53
1558,53
1559,53
1560,53
1561,53
1562,53
1563,53
1564,53
1565,54
1566,54
1567,54
1568,54
1569,54
1570,54
1571,54
1572,54
1573,54
1574,55
1575,55
1576,55
1577,55
1578,55
1579,55
1580,55
1581,55
1582,55
1583,56
1584,56
1585,56
1586,56
1587,56
1588,56
1589,56
1590,56
1591,56
1592,56
1593,58
1594,58
1595,58
1596,58
1597,58
1598,58
1599,58
1600,58
1601,58
1602,58
1603,59
1604,59
1605,59
1606,59
1607,59
1608,59
1609,59
1610,59
1611,59
1612,60
1613,60
1614,60
1615,60
1616,60
1617,60
1618,60
1619,60
1620,60
1621,60
1622,60
1623,60
1624,60
1625,60
1626,60
1627,60
1628,60
1629,60
1630,60
1631,60
1632,60
1633,60
1634,60
1635,60
1636,60
1637,60
1638,60
1639,60
1640,60
1641,60
1642,60
1643,60
1644,60
1645,60
1646,60
1647,60
1648,60
1649,60
1650,60
1651,60
1652,60
1653,60
1654,60
1655,60
1656,60
1657,60
1658,60
1659,60
1660,60
1661,60
