Dock_Index,Substrate_Index,success,num_atoms_smiles,num_atoms_pdb,num_matched,error
0,0,True,9,9,9,
1,1,True,11,11,11,
2,2,True,22,22,22,
3,3,True,21,21,21,
4,4,True,22,22,22,
5,5,True,7,7,7,
6,6,True,8,8,8,
7,7,True,8,8,8,
8,8,True,8,8,8,
9,9,True,8,8,8,
10,10,True,8,8,8,
11,11,True,68,68,68,
12,12,True,16,16,16,
13,13,True,37,75,37,
14,14,True,36,76,36,
15,15,True,35,73,35,
16,16,True,36,74,36,
17,17,True,24,24,24,
18,18,True,54,54,54,
19,19,True,22,51,22,
20,20,True,25,25,25,
21,21,True,26,26,26,
22,22,True,22,22,22,
23,23,True,22,22,22,
24,24,True,21,21,21,
25,25,True,18,18,18,
26,26,False,0,0,0,Raw ligand file not found
27,27,True,55,55,55,
28,28,True,16,28,16,
29,29,True,51,51,51,
30,30,True,22,22,22,
31,31,True,25,25,25,
32,32,True,36,36,36,
33,33,True,49,49,49,
34,34,True,27,27,27,
35,35,True,28,28,28,
36,36,True,25,25,25,
37,37,False,42,42,0,No substructure match found
38,38,True,15,15,15,
39,39,True,14,14,14,
40,40,True,16,38,16,
41,41,True,15,29,15,
42,42,True,11,21,11,
43,43,True,13,25,13,
44,44,True,9,15,9,
45,45,True,11,21,11,
46,46,True,11,11,11,
47,47,True,10,10,10,
48,48,True,10,10,10,
49,49,True,20,20,20,
50,50,True,21,38,21,
51,51,True,22,22,22,
52,52,True,22,22,22,
53,53,True,22,22,22,
54,54,True,28,28,28,
55,55,True,21,21,21,
56,56,True,20,20,20,
57,50,True,21,21,21,
58,57,True,11,11,11,
59,15,True,35,73,35,
60,58,True,36,36,36,
61,1,True,11,11,11,
62,59,True,12,12,12,
63,60,True,28,28,28,
64,60,True,28,28,28,
65,61,True,32,32,32,
66,62,True,24,24,24,
67,38,True,15,15,15,
68,29,True,51,51,51,
69,63,True,21,21,21,
70,64,True,21,21,21,
71,65,True,20,20,20,
72,66,True,20,20,20,
73,67,True,25,25,25,
74,68,True,23,23,23,
75,69,True,27,27,27,
76,70,True,27,27,27,
77,71,True,27,27,27,
78,72,True,27,27,27,
79,33,True,49,49,49,
80,30,True,22,22,22,
81,31,True,25,25,25,
82,73,True,37,37,37,
83,74,True,26,26,26,
84,75,True,23,23,23,
85,12,True,16,16,16,
86,75,True,23,23,23,
87,76,True,19,19,19,
88,77,True,16,16,16,
89,78,True,29,29,29,
90,60,True,28,28,28,
91,79,True,14,14,14,
92,25,True,18,18,18,
93,80,True,20,20,20,
94,12,True,16,16,16,
95,81,True,15,15,15,
96,48,True,10,10,10,
97,82,True,28,28,28,
98,83,True,8,19,8,
99,24,True,21,49,21,
100,84,True,12,31,12,
101,85,True,25,25,25,
102,24,True,21,21,21,
103,86,True,22,22,22,
104,23,True,22,22,22,
105,87,True,35,35,35,
106,31,True,25,25,25,
107,88,True,43,43,43,
108,89,False,42,42,0,No substructure match found
109,90,True,24,24,24,
110,91,True,23,23,23,
111,92,False,29,28,0,AssignBondOrdersFromTemplate failed: No matching found
112,93,True,13,13,13,
113,94,True,39,39,39,
114,39,True,14,14,14,
115,12,True,16,16,16,
116,95,True,12,12,12,
117,96,True,25,25,25,
118,97,True,31,31,31,
119,73,True,37,37,37,
120,24,True,21,21,21,
121,98,True,18,18,18,
122,25,True,18,18,18,
123,99,True,28,28,28,
124,100,True,20,38,20,
125,101,True,23,23,23,
126,102,True,36,36,36,
127,103,True,32,32,32,
128,104,True,25,25,25,
129,105,True,24,24,24,
130,106,True,27,27,27,
131,107,True,28,28,28,
132,108,True,21,21,21,
133,109,True,33,33,33,
134,110,True,21,21,21,
135,95,True,12,12,12,
136,111,True,24,24,24,
137,112,True,18,18,18,
138,113,True,17,17,17,
139,114,True,13,13,13,
140,115,True,28,28,28,
141,116,True,17,17,17,
142,117,True,21,21,21,
143,118,True,24,24,24,
144,119,True,23,23,23,
145,120,True,19,19,19,
146,121,True,6,6,6,
147,122,True,6,6,6,
148,123,True,9,9,9,
149,124,True,10,10,10,
150,125,True,12,12,12,
151,126,False,22,22,0,"RemoveHs failed: Explicit valence for atom # 20 Cl, 2, is greater than permitted"
152,127,True,11,11,11,
153,128,True,11,11,11,
154,129,True,11,11,11,
155,130,True,17,17,17,
156,131,True,11,11,11,
157,132,True,6,6,6,
158,133,True,10,10,10,
159,134,True,11,11,11,
160,135,True,11,11,11,
161,136,True,10,10,10,
162,137,True,12,12,12,
163,138,True,8,8,8,
164,139,True,11,11,11,
165,140,True,21,21,21,
166,141,True,25,47,25,
167,142,True,29,52,29,
168,143,True,27,45,27,
169,99,True,28,28,28,
170,144,True,29,29,29,
171,145,True,30,30,30,
172,146,True,29,29,29,
173,140,True,21,21,21,
174,147,True,6,6,6,
175,148,True,9,9,9,
176,149,True,17,17,17,
177,150,True,15,15,15,
178,151,True,15,15,15,
179,75,True,23,23,23,
180,0,True,9,9,9,
181,1,True,11,11,11,
182,46,True,11,11,11,
183,152,True,11,21,11,
184,29,True,51,51,51,
185,73,True,37,37,37,
186,33,True,49,49,49,
187,153,True,31,31,31,
188,31,True,25,25,25,
189,33,True,49,49,49,
190,154,True,36,36,36,
191,155,True,36,36,36,
192,156,False,0,0,0,Raw ligand file not found
193,157,True,22,22,22,
194,158,True,41,41,41,
195,159,True,25,25,25,
196,160,True,31,31,31,
197,161,True,25,25,25,
198,162,True,26,26,26,
199,163,True,24,24,24,
200,164,True,24,24,24,
201,165,True,25,25,25,
202,166,True,24,24,24,
203,167,True,25,25,25,
204,168,True,26,26,26,
205,169,True,28,28,28,
206,170,True,11,11,11,
207,171,True,16,16,16,
208,172,True,15,15,15,
209,173,True,14,14,14,
210,174,True,13,13,13,
211,175,True,14,14,14,
212,176,True,13,13,13,
213,151,True,15,15,15,
214,125,True,12,12,12,
215,177,True,10,10,10,
216,178,True,23,23,23,
217,179,True,18,18,18,
218,180,True,27,27,27,
219,181,True,24,24,24,
220,182,True,28,28,28,
221,183,True,30,30,30,
222,184,True,25,25,25,
223,185,True,30,30,30,
224,186,True,22,22,22,
225,187,True,26,26,26,
226,25,True,18,18,18,
227,188,True,27,27,27,
228,98,True,18,18,18,
229,189,True,11,11,11,
230,190,True,13,13,13,
231,191,True,8,8,8,
232,192,True,23,23,23,
233,130,True,17,17,17,
234,31,True,25,25,25,
235,30,True,22,22,22,
236,160,True,31,31,31,
237,193,True,26,26,26,
238,24,True,21,21,21,
239,194,True,4,4,4,
240,195,True,4,4,4,
241,196,True,7,7,7,
242,197,False,11,10,0,AssignBondOrdersFromTemplate failed: No matching found
243,198,True,11,11,11,
244,199,True,9,9,9,
245,200,True,11,11,11,
246,201,True,10,10,10,
247,202,True,3,3,3,
248,203,True,2,2,2,
249,204,True,9,9,9,
250,205,True,25,25,25,
251,206,True,20,20,20,
252,207,True,29,29,29,
253,208,True,30,30,30,
254,209,True,8,8,8,
255,210,True,12,12,12,
256,211,True,12,12,12,
257,5,True,7,15,7,
258,212,True,2,2,2,
259,213,True,23,23,23,
260,214,True,8,8,8,
261,215,True,9,9,9,
262,216,True,24,24,24,
263,217,True,9,19,9,
264,218,False,13,12,0,AssignBondOrdersFromTemplate failed: No matching found
265,219,False,15,14,0,AssignBondOrdersFromTemplate failed: No matching found
266,220,True,18,18,18,
267,221,True,15,15,15,
268,222,True,17,30,17,
269,130,True,17,17,17,
270,223,True,30,30,30,
271,224,True,31,31,31,
272,120,True,19,19,19,
273,225,True,20,20,20,
274,226,True,29,29,29,
275,227,True,31,31,31,
276,228,True,36,36,36,
277,229,False,0,0,0,Raw ligand file not found
278,230,False,0,0,0,Raw ligand file not found
279,95,True,12,12,12,
280,231,True,13,13,13,
281,232,False,16,7,0,AssignBondOrdersFromTemplate failed: No matching found
282,115,True,28,28,28,
283,124,False,10,10,0,"RemoveHs failed: Explicit valence for atom # 6 C, 5, is greater than permitted"
284,177,True,10,10,10,
285,233,True,10,10,10,
286,234,True,11,11,11,
287,136,True,10,10,10,
288,235,True,11,11,11,
289,236,False,21,21,0,"RemoveHs failed: Explicit valence for atom # 10 O, 3, is greater than permitted"
290,237,True,50,50,50,
291,238,True,32,32,32,
292,239,True,33,33,33,
293,96,True,25,25,25,
294,240,False,0,0,0,Raw ligand file not found
295,241,False,25,52,0,"AssignBondOrdersFromTemplate failed: Explicit valence for atom # 12 C, 5, is greater than permitted"
296,242,True,11,11,11,
297,243,True,49,70,49,
298,244,True,36,36,36,
299,96,True,25,25,25,
300,245,True,50,50,50,
301,33,True,49,49,49,
302,246,False,37,36,0,AssignBondOrdersFromTemplate failed: No matching found
303,247,False,39,38,0,AssignBondOrdersFromTemplate failed: No matching found
304,248,False,41,38,0,AssignBondOrdersFromTemplate failed: No matching found
305,249,True,23,23,23,
306,250,True,20,34,20,
307,251,True,23,39,23,
308,60,True,28,72,28,
309,252,True,13,22,13,
310,231,True,13,24,13,
311,253,True,24,24,24,
312,254,True,26,26,26,
313,255,True,17,17,17,
314,256,True,30,30,30,
315,257,True,22,22,22,
316,32,True,36,36,36,
317,60,True,28,28,28,
318,258,True,30,30,30,
319,259,True,21,21,21,
320,260,True,24,24,24,
321,261,True,27,53,27,
322,262,True,26,26,26,
323,250,True,20,34,20,
324,263,True,28,28,28,
325,264,True,13,22,13,
326,265,True,23,45,23,
327,251,True,23,23,23,
328,249,True,23,43,23,
329,266,True,24,47,24,
330,267,True,28,53,28,
331,268,True,14,14,14,
332,269,True,16,27,16,
333,270,True,26,26,26,
334,271,True,28,28,28,
335,272,False,0,0,0,Raw ligand file not found
336,273,True,22,22,22,
337,60,True,28,28,28,
338,274,False,28,20,0,AssignBondOrdersFromTemplate failed: No matching found
339,275,True,29,29,29,
340,276,True,24,24,24,
341,277,True,16,16,16,
342,278,True,16,16,16,
343,279,True,6,6,6,
344,30,True,22,22,22,
345,17,True,24,24,24,
346,280,True,16,16,16,
347,281,True,19,19,19,
348,282,True,13,13,13,
349,283,True,12,12,12,
350,284,True,13,13,13,
351,285,True,12,12,12,
352,286,True,20,20,20,
353,287,True,23,23,23,
354,288,True,27,27,27,
355,289,True,26,26,26,
356,290,True,19,19,19,
357,291,True,27,27,27,
358,292,True,26,26,26,
359,293,True,28,28,28,
360,294,True,20,20,20,
361,295,True,23,23,23,
362,296,True,23,23,23,
363,297,True,25,25,25,
364,298,True,24,24,24,
365,299,True,27,43,27,
366,300,True,27,44,27,
367,301,True,25,25,25,
368,302,True,25,25,25,
369,303,True,26,26,26,
370,304,True,26,26,26,
371,305,True,25,25,25,
372,306,True,25,25,25,
373,307,True,25,25,25,
374,308,True,25,25,25,
375,309,True,26,26,26,
376,310,True,22,37,22,
377,311,True,21,36,21,
378,312,True,22,35,22,
379,313,True,25,25,25,
380,314,True,26,26,26,
381,315,True,17,30,17,
382,316,True,23,43,23,
383,317,True,24,43,24,
384,129,True,11,11,11,
385,30,True,22,22,22,
386,318,True,21,21,21,
387,319,True,18,18,18,
388,320,True,29,29,29,
389,321,True,16,16,16,
390,322,True,24,24,24,
391,323,True,22,22,22,
392,324,True,24,24,24,
393,325,True,15,15,15,
394,259,True,21,21,21,
395,228,True,36,36,36,
396,326,True,27,27,27,
397,327,True,11,18,11,
398,328,True,11,20,11,
399,329,True,13,22,13,
400,330,True,15,15,15,
401,140,True,21,21,21,
402,331,True,9,9,9,
403,151,True,15,15,15,
404,125,True,12,12,12,
405,332,True,15,15,15,
406,333,True,14,14,14,
407,134,True,11,11,11,
408,137,True,12,12,12,
409,134,True,11,11,11,
410,329,True,13,13,13,
411,334,True,12,12,12,
412,335,True,13,13,13,
413,336,True,12,23,12,
414,337,True,12,21,12,
415,338,True,11,11,11,
416,339,True,12,12,12,
417,340,True,16,16,16,
418,341,True,14,14,14,
419,342,True,11,11,11,
420,343,True,11,11,11,
421,344,True,10,10,10,
422,345,True,10,10,10,
423,346,True,11,11,11,
424,347,True,12,12,12,
425,348,True,15,15,15,
426,349,True,14,14,14,
427,350,True,13,13,13,
428,351,True,13,13,13,
429,352,True,11,11,11,
430,353,True,15,24,15,
431,354,True,17,17,17,
432,355,True,14,20,14,
433,356,True,12,12,12,
434,328,True,11,11,11,
435,357,True,16,25,16,
436,358,True,15,30,15,
437,359,True,12,12,12,
438,360,True,11,18,11,
439,361,True,14,21,14,
440,362,True,14,21,14,
441,363,True,10,14,10,
442,364,True,10,14,10,
443,365,True,10,14,10,
444,366,True,11,17,11,
445,367,True,12,20,12,
446,368,True,12,20,12,
447,369,True,17,26,17,
448,370,True,13,13,13,
449,371,True,15,15,15,
450,372,True,12,12,12,
451,373,True,15,15,15,
452,374,True,16,16,16,
453,375,True,13,13,13,
454,376,True,13,13,13,
455,377,True,14,14,14,
456,378,True,10,10,10,
457,379,True,11,11,11,
458,327,True,11,11,11,
459,380,True,13,13,13,
460,30,True,22,22,22,
461,29,True,51,51,51,
462,87,True,35,35,35,
463,381,True,34,34,34,
464,382,True,36,36,36,
465,383,True,37,37,37,
466,384,True,35,35,35,
467,385,True,41,41,41,
468,386,True,21,21,21,
469,57,True,11,19,11,
470,129,True,11,11,11,
471,387,True,12,12,12,
472,95,True,12,12,12,
473,388,True,12,12,12,
474,389,True,50,50,50,
475,390,True,49,49,49,
476,391,True,48,48,48,
477,96,True,25,25,25,
478,392,True,26,26,26,
479,326,True,27,27,27,
480,24,True,21,21,21,
481,393,True,27,27,27,
482,394,True,22,22,22,
483,395,True,23,23,23,
484,75,True,23,23,23,
485,259,True,21,21,21,
486,396,True,20,50,20,
487,24,True,21,21,21,
488,153,True,31,31,31,
489,327,True,11,11,11,
490,397,True,19,19,19,
491,30,True,22,22,22,
492,398,True,51,51,51,
493,399,True,32,32,32,
494,400,True,33,33,33,
495,401,True,38,38,38,
496,402,True,44,44,44,
497,403,True,46,46,46,
498,404,True,43,43,43,
499,405,True,39,39,39,
500,406,True,27,27,27,
